Frame Number,Detector Type,Detection Time(ms),Descriptor Type,Descriptor Time(ms),LidarTTC,CameraTTC
1,FAST,2.12127,BRISK,20.46348,0.00s,0.00s,
2,FAST,1.03124,BRISK,18.53839,13.18s,12.30s,
3,FAST,1.00968,BRISK,18.32206,14.52s,12.35s,
4,FAST,1.01532,BRISK,18.04586,23.75s,16.62s,
5,FAST,0.99394,BRISK,19.08767,14.98s,12.89s,
6,FAST,1.11229,BRISK,21.36370,11.56s,-infs,
7,FAST,1.01373,BRISK,18.34917,12.40s,13.04s,
8,FAST,1.26566,BRISK,18.63144,18.39s,12.04s,
9,FAST,1.01847,BRISK,18.20874,20.40s,11.41s,
10,FAST,1.02010,BRISK,18.41056,13.29s,11.87s,
11,FAST,1.12049,BRISK,18.53046,16.09s,13.35s,
12,FAST,1.06965,BRISK,18.42623,11.39s,12.95s,
13,FAST,1.01911,BRISK,18.83382,10.81s,12.12s,
14,FAST,1.05535,BRISK,18.72383,9.61s,12.78s,
15,FAST,1.02524,BRISK,18.28721,11.20s,11.61s,
16,FAST,1.03745,BRISK,19.46129,8.33s,11.41s,
17,FAST,1.06061,BRISK,19.04956,10.30s,12.26s,
18,FAST,1.06605,BRISK,19.09288,13.78s,9.29s,
19,FAST,1.09479,BRISK,19.07612,8.90s,11.86s,

1,FAST,1.06144,BRIEF,8.62732,0.00s,0.00s,
2,FAST,1.16535,BRIEF,6.75500,13.18s,11.18s,
3,FAST,1.04377,BRIEF,7.24864,14.52s,13.01s,
4,FAST,0.96781,BRIEF,7.11386,23.75s,14.82s,
5,FAST,1.05272,BRIEF,6.27644,14.98s,13.67s,
6,FAST,1.03376,BRIEF,6.51450,11.56s,-infs,
7,FAST,1.02305,BRIEF,6.63759,12.40s,41.78s,
8,FAST,1.12393,BRIEF,6.26728,18.39s,12.76s,
9,FAST,0.98854,BRIEF,6.91425,20.40s,12.77s,
10,FAST,0.99179,BRIEF,7.07222,13.29s,13.92s,
11,FAST,1.04941,BRIEF,7.03345,16.09s,16.21s,
12,FAST,1.01268,BRIEF,7.11704,11.39s,13.64s,
13,FAST,1.35505,BRIEF,7.26227,10.81s,12.98s,
14,FAST,1.08378,BRIEF,6.93497,9.61s,13.15s,
15,FAST,1.05396,BRIEF,6.31832,11.20s,11.70s,
16,FAST,1.03469,BRIEF,6.66477,8.33s,12.61s,
17,FAST,1.22321,BRIEF,7.79843,10.30s,13.01s,
18,FAST,1.20452,BRIEF,7.33649,13.78s,11.26s,
19,FAST,1.09764,BRIEF,6.48090,8.90s,13.79s,

1,FAST,1.02762,ORB,10.36498,0.00s,0.00s,
2,FAST,1.01629,ORB,4.18637,13.18s,12.20s,
3,FAST,1.05132,ORB,4.48612,14.52s,12.93s,
4,FAST,0.94939,ORB,4.04529,23.75s,16.63s,
5,FAST,1.01063,ORB,4.22273,14.98s,14.07s,
6,FAST,0.99956,ORB,4.28593,11.56s,-infs,
7,FAST,1.18588,ORB,4.61869,12.40s,55.98s,
8,FAST,1.00795,ORB,4.21950,18.39s,12.39s,
9,FAST,0.95618,ORB,4.35063,20.40s,12.19s,
10,FAST,1.02975,ORB,3.94869,13.29s,12.87s,
11,FAST,1.05303,ORB,4.13296,16.09s,16.23s,
12,FAST,1.09449,ORB,4.01578,11.39s,14.14s,
13,FAST,1.02468,ORB,3.91544,10.81s,12.98s,
14,FAST,0.99816,ORB,4.06819,9.61s,13.56s,
15,FAST,1.02309,ORB,3.90713,11.20s,11.30s,
16,FAST,1.08675,ORB,4.17755,8.33s,10.71s,
17,FAST,1.07529,ORB,4.26853,10.30s,11.92s,
18,FAST,1.05208,ORB,3.92237,13.78s,11.95s,
19,FAST,1.08539,ORB,4.05165,8.90s,13.78s,

